ka,o18,o18.lower,o18.upper,sl,sl.lower,sl.upper
302,0.36,0.25,0.47,-42.03,-29.1,-55.1
303.5,0.27,0.16,0.38,-32.3,-19.35,-45.35
305,0.25,0.14,0.36,-29.43,-16.47,-42.47
306.5,0.24,0.13,0.35,-28.88,-15.92,-41.92
308,0.25,0.14,0.36,-29.46,-16.5,-42.5
309.5,0.22,0.11,0.33,-25.37,-12.41,-38.41
311,0.16,0.05,0.27,-19.44,-6.47,-32.47
312.5,0.13,0.02,0.24,-15.9,-2.93,-28.93
314,0.14,0.03,0.25,-17.11,-4.13,-30.13
315.5,0.16,0.05,0.27,-18.86,-5.89,-31.89
317,0.18,0.07,0.29,-21.15,-8.18,-34.18
318.5,0.18,0.07,0.29,-21.61,-8.64,-34.64
320,0.18,0.07,0.29,-21.73,-8.76,-34.76
321.5,0.15,0.04,0.26,-17.16,-4.18,-30.18
323,0.07,-0.04,0.18,-8.19,4.8,-21.2
324.5,0.02,-0.09,0.13,-2.79,10.21,-15.79
326,0.01,-0.1,0.12,-1.08,11.92,-14.08
327.5,-0.01,-0.12,0.1,0.6,13.6,-12.4
329,-0.03,-0.14,0.08,3.76,16.77,-9.23
330.5,-0.04,-0.15,0.07,4.68,17.69,-8.31
332,-0.03,-0.14,0.08,3.42,16.42,-9.91
333.5,0.05,-0.06,0.25,-5.65,7.34,-29.63
335,0.25,0.14,0.5,-30,-17.05,-59.65
336.5,0.45,0.34,0.65,-53.32,-40.4,-76.64
338,0.66,0.55,0.77,-78.22,-65.34,-91.34
339.5,0.84,0.73,0.95,-99.48,-86.63,-112.63
341,0.97,0.86,1.08,-114.62,-101.79,-127.79
342.5,1.06,0.95,1.17,-124.99,-111.95,-138.19
344,1.07,0.92,1.18,-125.84,-108.14,-139.03
345.5,1,0.86,1.11,-118.09,-101.86,-131.27
347,0.89,0.78,1,-105.4,-91.92,-118.57
348.5,0.75,0.64,0.86,-88.41,-75.54,-101.54
350,0.61,0.5,0.72,-71.41,-58.52,-84.52
351.5,0.72,0.59,0.83,-84.8,-69.88,-97.93
353,0.67,0.56,0.78,-79.52,-66.64,-92.64
354.5,0.61,0.5,0.72,-71.81,-58.92,-84.92
356,0.57,0.46,0.68,-67.67,-54.78,-80.78
357.5,0.52,0.41,0.63,-60.81,-47.9,-73.9
359,0.45,0.34,0.56,-53.18,-40.26,-66.26
360.5,0.46,0.35,0.57,-54.46,-41.55,-67.55
362,0.45,0.34,0.56,-53.58,-40.66,-66.66
363.5,0.43,0.32,0.54,-51.19,-38.27,-64.27
365,0.39,0.28,0.5,-46.17,-33.24,-59.24
366.5,0.35,0.24,0.46,-40.96,-28.03,-54.03
368,0.35,0.24,0.46,-41.75,-28.81,-54.81
369.5,0.37,0.26,0.48,-43.45,-30.52,-56.52
371,0.34,0.23,0.45,-40.37,-27.43,-53.43
372.5,0.29,0.18,0.4,-34.76,-21.81,-47.81
374,0.26,0.15,0.37,-30.37,-17.41,-43.41
375.5,0.23,0.12,0.38,-27.56,-14.61,-44.32
377,0.21,0.1,0.38,-25.31,-12.35,-44.32
378.5,0.21,0.1,0.34,-24.98,-12.02,-39.74
380,0.21,0.1,0.32,-24.65,-11.69,-37.69
381.5,0.18,0.07,0.29,-21.7,-8.74,-34.74
383,0.16,0.05,0.27,-18.76,-5.79,-31.79
384.5,0.13,0.02,0.24,-15.81,-2.84,-28.84
386,0.11,0,0.22,-12.87,0.11,-25.89
387.5,0.08,-0.03,0.19,-9.92,3.06,-22.94
389,0.05,-0.06,0.16,-6.16,6.83,-19.17
390.5,0.06,-0.05,0.17,-6.54,6.45,-19.55
392,0.04,-0.07,0.15,-4.78,8.21,-17.79
393.5,0.03,-0.08,0.14,-3.02,9.97,-16.03
395,0.01,-0.1,0.12,-1.27,11.73,-14.27
396.5,-0.01,-0.12,0.1,0.62,13.62,-12.38
398,-0.02,-0.13,0.09,2.57,15.57,-10.43
399.5,-0.04,-0.15,0.07,4.51,17.52,-8.48
401,-0.05,-0.16,0.06,6.46,19.47,-6.53
402.5,-0.05,-0.16,0.06,5.48,18.48,-7.52
404,-0.04,-0.15,0.07,4.49,17.5,-8.5
405.5,-0.04,-0.15,0.07,5.25,18.26,-7.74
407,-0.05,-0.16,0.06,6.43,19.44,-6.56
408.5,-0.05,-0.16,0.06,5.68,18.69,-7.31
410,-0.03,-0.14,0.08,3.71,16.72,-9.28
411.5,-0.01,-0.12,0.1,1.74,14.74,-11.26
413,0,-0.11,0.13,-0.23,12.77,-14.77
414.5,0.03,-0.08,0.23,-3.52,9.47,-26.74
416,0.1,-0.01,0.37,-11.69,1.29,-43.14
417.5,0.17,0.06,0.48,-19.86,-6.89,-56.28
419,0.24,0.13,0.56,-28.02,-15.07,-65.59
420.5,0.31,0.2,0.6,-36.19,-23.25,-70.47
422,0.38,0.27,0.61,-44.62,-31.68,-71.8
423.5,0.45,0.34,0.6,-53.1,-40.18,-70.76
425,0.52,0.41,0.63,-61.59,-48.68,-74.68
426.5,0.59,0.48,0.7,-70.07,-57.18,-83.18
428,0.69,0.58,0.8,-81.32,-68.45,-94.45
429.5,0.82,0.71,0.93,-96.6,-83.75,-109.75
